date,open,high,low,close,volume,turnover,code,name
22/03/2023,6281.77,6323.56,6248.13,6253.39,20036899,752390203.9,TMTI,المواد الأساسية
21/03/2023,6194.52,6275.03,6191.78,6275.03,19244641,725012398.5,TMTI,المواد الأساسية
20/03/2023,6191.65,6202.46,6158.44,6188.94,17472773,743973273.1,TMTI,المواد الأساسية
19/03/2023,6109.23,6196.81,6105.32,6196.42,16646455,742139387,TMTI,المواد الأساسية
16/03/2023,6150.42,6175.77,6084.48,6088.27,33455189,1646123336,TMTI,المواد الأساسية
15/03/2023,6259.9,6282.34,6147.57,6152.27,23775148,918345728.5,TMTI,المواد الأساسية
14/03/2023,6285.64,6302.47,6247.27,6247.27,18673164,761755741.9,TMTI,المواد الأساسية
13/03/2023,6333.69,6364.15,6315.53,6315.68,19185382,762163996.4,TMTI,المواد الأساسية
12/3/2023,6344.19,6348.67,6318.75,6330.18,15377967,506964811,TMTI,المواد الأساسية
9/3/2023,6358.13,6367.04,6331.55,6341.07,15944589,692805725.3,TMTI,المواد الأساسية
8/3/2023,6379.64,6381.26,6321.38,6362.18,18142236,902465891.1,TMTI,المواد الأساسية
7/3/2023,6409.83,6453.54,6392.81,6414.58,21213012,859376769.6,TMTI,المواد الأساسية
6/3/2023,6405.24,6431.95,6391.36,6411.33,21588035,870488248.2,TMTI,المواد الأساسية
5/3/2023,6317.66,6391.15,6313.15,6391.15,16373245,701904258.2,TMTI,المواد الأساسية
2/3/2023,6300.44,6320.21,6278.71,6296.05,17624059,791674581.3,TMTI,المواد الأساسية
1/3/2023,6299.35,6322.83,6246.07,6274.96,17689594,836411807.2,TMTI,المواد الأساسية
28/02/2023,6245.37,6305.1,6171.93,6284.79,32321804,1487776277,TMTI,المواد الأساسية
27/02/2023,6257.33,6296.43,6236.87,6266.68,16182015,819398389.9,TMTI,المواد الأساسية
26/02/2023,6275.19,6292.85,6231.55,6245.71,11665306,543308689.4,TMTI,المواد الأساسية
23/02/2023,6307.82,6320.26,6255.45,6274.74,17250100,927781209.3,TMTI,المواد الأساسية
21/02/2023,6379.35,6394.33,6317.45,6334.41,15496650,710850472.4,TMTI,المواد الأساسية
20/02/2023,6484.56,6487.22,6374.81,6391.31,14573164,749812269.5,TMTI,المواد الأساسية
19/02/2023,6514.03,6527.66,6471.94,6483.77,15061487,964914898.1,TMTI,المواد الأساسية
16/02/2023,6494.89,6520.54,6480.75,6514.01,16120610,859656923.6,TMTI,المواد الأساسية
15/02/2023,6471.14,6504.45,6469.38,6496.88,18741888,927821445.9,TMTI,المواد الأساسية
14/02/2023,6472.07,6497.48,6456.25,6479.04,16028559,720577995,TMTI,المواد الأساسية
13/02/2023,6445.27,6490.55,6445.17,6459.44,15625950,831713482.8,TMTI,المواد الأساسية
12/2/2023,6418.85,6440.4,6392.29,6431.96,8492137,426406069,TMTI,المواد الأساسية
